"Checked"	"Protein FDR Confidence Combined"	"Master"	"Accession"	"Description"	"Exp q-value Combined"	"Sum PEP Score"	"Coverage in Percent"	"Number of Peptides"	"Number of PSMs"	"Number of Unique Peptides"	"Number of Protein Groups"	"Number of AAs"	"MW in kDa"	"calc pI"	"Score Sequest HT Sequest HT"	"Number of Peptides by Search Engine Sequest HT"	"Number of Razor Peptides"	"Abundances Grouped 126 A"	"Abundances Grouped 126 B"	"Abundances Grouped 127N A"	"Abundances Grouped 127N B"	"Abundances Grouped 127C A"	"Abundances Grouped 127C B"	"Abundances Grouped 128N A"	"Abundances Grouped 128N B"	"Abundances Grouped 128C A"	"Abundances Grouped 128C B"	"Abundances Grouped 129N A"	"Abundances Grouped 129N B"	"Abundances Grouped 129C A"	"Abundances Grouped 129C B"	"Abundances Grouped 130N A"	"Abundances Grouped 130N B"	"Abundances Grouped 130C A"	"Abundances Grouped 130C B"	"Abundances Grouped 131 A"	"Abundances Grouped 131 B"	"Abundances Grouped CV in Percent 126 A"	"Abundances Grouped CV in Percent 126 B"	"Abundances Grouped CV in Percent 127N A"	"Abundances Grouped CV in Percent 127N B"	"Abundances Grouped CV in Percent 127C A"	"Abundances Grouped CV in Percent 127C B"	"Abundances Grouped CV in Percent 128N A"	"Abundances Grouped CV in Percent 128N B"	"Abundances Grouped CV in Percent 128C A"	"Abundances Grouped CV in Percent 128C B"	"Abundances Grouped CV in Percent 129N A"	"Abundances Grouped CV in Percent 129N B"	"Abundances Grouped CV in Percent 129C A"	"Abundances Grouped CV in Percent 129C B"	"Abundances Grouped CV in Percent 130N A"	"Abundances Grouped CV in Percent 130N B"	"Abundances Grouped CV in Percent 130C A"	"Abundances Grouped CV in Percent 130C B"	"Abundances Grouped CV in Percent 131 A"	"Abundances Grouped CV in Percent 131 B"
"False"	"High"	"IsMasterProtein"	"cRAP_P04264"	"Keratin, type II cytoskeletal 1 OS=Homo sapiens GN=KRT1 PE=1 SV=6"	"0.000"	"79.772"	"28"	"17"	"43"	"16"	"1"	"644"	"66.0"	"8.12"	"150.07"	"17"	"0"	"28.0"	"22.9"	"24.0"	"7.2"	"10.4"	"6.9"	"11.8"	"1.7"	"25.0"	"18.9"	"19.4"	"12.6"	"11.1"	"11.4"	"0.6"	"25.8"	""	"13.8"	"16.6"	"15.6"	"82.82"	"138.88"	"96.54"	"147.25"	"68.75"	"156.74"	"61.36"	""	"65.76"	"95.63"	"59.73"	"164.53"	"45.55"	"161.25"	""	"150.27"	""	"140.39"	"65.41"	"121.37"
"False"	"High"	"IsMasterProtein"	"OEU21213.1"	"heat shock protein Hsp90 [Fragilariopsis cylindrus CCMP1102]"	"0.000"	"77.896"	"16"	"11"	"47"	"10"	"1"	"732"	"83.3"	"4.73"	"150.88"	"11"	"1"	"11.8"	"7.7"	"9.0"	"8.2"	"7.9"	"8.3"	"7.1"	"1.7"	"11.3"	"8.6"	"15.1"	"8.4"	"3.4"	"8.2"	"0.4"	"6.3"	""	"8.2"	"11.9"	"7.6"	"130.20"	"176.17"	"106.33"	"130.43"	"67.37"	"99.32"	"61.09"	""	"132.08"	"49.09"	"102.00"	"132.26"	"150.25"	"114.27"	""	"133.63"	""	"164.28"	"118.73"	"131.71"
"False"	"High"	"IsMasterProtein"	"cRAP_P35908"	"Keratin, type II cytoskeletal 2 epidermal OS=Homo sapiens GN=KRT2 PE=1 SV=2"	"0.000"	"75.749"	"26"	"18"	"42"	"17"	"1"	"639"	"65.4"	"8.00"	"141.52"	"18"	"1"	"20.2"	"6.8"	"15.4"	"6.9"	"9.8"	"9.4"	"6.1"	"1.2"	"12.2"	"5.7"	"12.8"	"16.1"	"5.7"	"7.0"	"0.7"	"13.9"	"1.2"	"6.3"	"12.3"	"6.4"	"106.33"	"95.04"	"128.04"	"81.05"	"92.54"	"76.13"	"101.58"	"6.34"	"99.15"	"36.47"	"119.82"	"82.34"	"147.82"	"96.63"	""	"90.95"	""	"91.53"	"114.73"	"81.76"
"False"	"High"	"IsMasterProtein"	"OEU15381.1"	"S-Adenosyl homocysteine hydrolase [Fragilariopsis cylindrus CCMP1102]"	"0.000"	"72.727"	"25"	"13"	"48"	"13"	"1"	"481"	"52.5"	"5.40"	"156.37"	"13"	"0"	"24.2"	"30.1"	"13.3"	"27.3"	"10.5"	"18.9"	"6.9"	"0.6"	"21.7"	"10.8"	"39.2"	"27.3"	"4.1"	"34.5"	"1.1"	"25.9"	""	"21.4"	"20.2"	"19.7"	"83.76"	"44.08"	"57.05"	"47.30"	"63.84"	"37.17"	"71.60"	"5.85"	"54.11"	"69.89"	"56.61"	"45.42"	"106.82"	"41.90"	""	"46.53"	""	"34.15"	"59.96"	"34.50"
"False"	"High"	"IsMasterProtein"	"OEU11144.1"	"5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase [Fragilariopsis cylindrus CCMP1102]"	"0.000"	"70.695"	"22"	"20"	"48"	"20"	"1"	"765"	"86.0"	"5.88"	"144.83"	"20"	"0"	""	"1.6"	"43.5"	"116.4"	"4.1"	"66.8"	"37.0"	"1.0"	"2.5"	"42.0"	"59.1"	"4.3"	"1.4"	"161.8"	"0.0"	"2.2"	""	"21.7"	"20.9"	"22.8"	""	"18.34"	"92.50"	"85.66"	"20.72"	"59.99"	"69.32"	"86.66"	"29.34"	"80.06"	"68.49"	""	"30.87"	"82.35"	""	"10.55"	""	"87.60"	"74.59"	"83.85"
"False"	"High"	"IsMasterProtein"	"OEU14763.1"	"V-ATPase subunit A4 [Fragilariopsis cylindrus CCMP1102]"	"0.000"	"70.305"	"21"	"13"	"47"	"13"	"1"	"624"	"68.5"	"4.98"	"155.98"	"13"	"0"	"29.6"	"15.9"	"21.2"	"13.5"	"27.7"	"16.0"	"21.0"	"0.3"	"36.4"	"17.4"	"40.3"	"15.7"	"17.0"	"18.8"	"0.9"	"13.7"	""	"19.8"	"31.0"	"17.6"	"77.13"	"69.72"	"77.64"	"74.43"	"72.82"	"37.49"	"80.15"	"114.34"	"69.17"	"80.64"	"55.50"	"45.55"	"69.23"	"53.23"	"79.64"	"66.37"	""	"37.37"	"54.66"	"42.92"
"False"	"High"	"IsMasterProtein"	"OEU17161.1"	"P-loop containing nucleoside triphosphate hydrolase protein [Fragilariopsis cylindrus CCMP1102]"	"0.000"	"69.877"	"19"	"18"	"48"	"18"	"1"	"877"	"96.4"	"6.14"	"142.62"	"18"	"0"	"12.1"	"11.7"	"8.6"	"17.0"	"13.0"	"15.0"	"9.9"	"0.9"	"17.1"	"20.9"	"19.4"	"19.3"	"10.9"	"18.5"	"1.0"	"18.9"	""	"10.2"	"18.0"	"9.6"	"78.83"	"149.09"	"81.67"	"149.10"	"55.53"	"122.12"	"61.45"	"129.00"	"61.58"	"116.89"	"57.00"	"148.70"	"59.85"	"144.25"	""	"146.64"	""	"150.90"	"57.04"	"154.34"
"False"	"High"	"IsMasterProtein"	"OEU20623.1"	"D-isomer-specific 2-hydroxyacid dehydrogenase NAD-binding protein [Fragilariopsis cylindrus CCMP1102]"	"0.000"	"69.813"	"34"	"14"	"38"	"13"	"1"	"443"	"47.9"	"5.53"	"122.09"	"14"	"1"	"8.8"	"13.2"	"4.9"	"10.0"	"7.2"	"4.7"	"3.9"	"0.2"	"8.0"	"3.8"	"10.1"	"8.4"	"6.2"	"14.4"	""	"14.8"	""	"9.5"	"5.7"	"7.5"	"35.48"	"89.05"	"61.10"	"126.25"	"57.74"	"131.94"	"90.71"	""	"39.60"	"104.87"	"41.03"	"151.53"	"17.21"	"113.61"	""	"111.90"	""	"125.04"	"40.40"	"135.46"
"False"	"High"	"IsMasterProtein"	"OEU13767.1"	"Coatomer, alpha subunit [Fragilariopsis cylindrus CCMP1102]"	"0.000"	"69.690"	"13"	"18"	"40"	"18"	"1"	"1284"	"141.4"	"6.42"	"123.08"	"18"	"0"	"28.9"	"23.3"	"19.0"	"29.5"	"21.6"	"12.2"	"14.7"	"1.0"	"34.3"	"11.0"	"18.8"	"32.4"	"29.4"	"26.8"	"1.0"	"30.5"	"0.7"	"22.8"	"22.4"	"20.3"	"49.45"	"124.12"	"34.26"	"117.13"	"58.18"	"133.18"	"62.16"	"94.76"	"46.41"	"145.78"	"49.54"	"117.91"	"73.90"	"123.09"	""	"113.97"	""	"124.87"	"60.25"	"127.45"
"False"	"High"	"IsMasterProtein"	"OEU16252.1"	"carbamyl phosphate synthetase [Fragilariopsis cylindrus CCMP1102]"	"0.000"	"69.386"	"11"	"17"	"44"	"16"	"1"	"1511"	"166.4"	"5.47"	"124.99"	"17"	"1"	"23.4"	"9.4"	"15.9"	"8.4"	"13.6"	"3.2"	"9.9"	"1.5"	"20.0"	"5.0"	"24.5"	"7.2"	"21.8"	"10.7"	""	"8.1"	"1.4"	"8.4"	"17.0"	"6.5"	"59.79"	"84.60"	"43.88"	"100.19"	"65.44"	"107.26"	"59.32"	""	"58.39"	"80.77"	"41.69"	"99.70"	"50.10"	"95.51"	""	"101.59"	""	"88.38"	"53.13"	"69.42"
"False"	"High"	"IsMasterProtein"	"cRAP_P35527"	"Keratin, type I cytoskeletal 9 OS=Homo sapiens GN=KRT9 PE=1 SV=3"	"0.000"	"68.831"	"22"	"12"	"37"	"11"	"1"	"623"	"62.0"	"5.24"	"128.44"	"12"	"0"	"14.9"	"31.9"	"12.8"	"10.1"	"5.7"	"14.9"	"5.8"	"1.2"	"7.6"	"6.0"	"7.5"	"18.9"	"10.7"	"21.0"	"0.1"	"41.7"	"0.1"	"20.8"	"8.1"	"12.1"	"158.98"	"95.63"	"141.08"	"76.08"	"162.40"	"87.19"	"133.49"	"30.80"	"150.21"	"93.42"	"159.16"	"88.62"	"130.10"	"78.24"	""	"76.98"	""	"70.54"	"151.43"	"81.44"
"False"	"High"	"IsMasterProtein"	"OEU07736.1"	"Coatomer, gamma subunit [Fragilariopsis cylindrus CCMP1102]"	"0.000"	"68.776"	"17"	"17"	"36"	"17"	"1"	"927"	"102.4"	"4.92"	"115.45"	"17"	"0"	"8.7"	"7.2"	"5.3"	"5.6"	"3.5"	"3.8"	"3.1"	""	"9.0"	"2.3"	"8.0"	"6.5"	"5.3"	"8.8"	"1.3"	"6.9"	""	"5.9"	"5.5"	"6.4"	"97.15"	"30.02"	"113.26"	"57.70"	"159.70"	"16.53"	"135.26"	""	"91.21"	"29.29"	"120.95"	"29.62"	"143.56"	"41.39"	""	"50.32"	""	"39.91"	"100.80"	"42.51"
"False"	"High"	"IsMasterProtein"	"OEU15338.1"	"triosephosphate isomerase/glyceraldehyde-3-phosphate dehydrogenase precursor [Fragilariopsis cylindrus CCMP1102]"	"0.000"	"66.015"	"20"	"12"	"27"	"8"	"1"	"611"	"65.1"	"5.27"	"94.99"	"12"	"4"	"14.4"	"20.9"	"11.2"	"17.9"	"11.1"	"7.9"	"10.1"	"2.4"	"15.6"	"10.1"	"14.3"	"19.2"	"10.4"	"17.2"	"9.1"	"22.3"	"6.2"	"19.4"	"13.5"	"15.5"	"96.17"	"42.01"	"91.31"	"55.07"	"118.05"	"98.98"	"101.72"	"111.73"	"118.17"	"99.05"	"122.72"	"72.54"	"105.03"	"83.90"	""	"48.07"	""	"53.93"	"111.92"	"78.10"
"False"	"High"	"IsMasterProtein"	"OEU07483.1"	"DEAD-domain-containing protein [Fragilariopsis cylindrus CCMP1102]"	"0.000"	"63.823"	"24"	"16"	"30"	"15"	"1"	"628"	"67.0"	"6.15"	"99.34"	"16"	"0"	"17.3"	"6.2"	"9.2"	"7.3"	"4.8"	"4.5"	"5.9"	"1.9"	"15.1"	"2.4"	"12.7"	"8.4"	"4.3"	"6.9"	""	"7.4"	""	"5.9"	"15.2"	"4.1"	"33.79"	"106.99"	"6.01"	"101.78"	"139.99"	"151.96"	"119.26"	""	"81.74"	"154.54"	"114.91"	"126.49"	"137.00"	"124.28"	""	"109.32"	""	"113.67"	"59.78"	"115.50"
"False"	"High"	"IsMasterProtein"	"OEU12386.1"	"CPN60 protein [Fragilariopsis cylindrus CCMP1102]"	"0.000"	"63.336"	"30"	"17"	"44"	"17"	"1"	"587"	"62.8"	"4.98"	"139.32"	"17"	"0"	"54.8"	"14.5"	"31.8"	"10.1"	"55.5"	"6.2"	"27.3"	"1.2"	"44.0"	"4.6"	"60.1"	"12.5"	"18.6"	"10.8"	"0.6"	"8.3"	""	"12.2"	"28.7"	"8.1"	"80.20"	"159.23"	"89.88"	"168.93"	"67.14"	"165.88"	"88.38"	"25.68"	"96.32"	"193.15"	"92.49"	"167.67"	"90.67"	"168.49"	"53.64"	"178.99"	""	"169.91"	"100.41"	"171.41"
"False"	"High"	"IsMasterProtein"	"cRAP_P02534"	"Keratin, type I microfibrillar 48 kDa, component 8C-1 OS=Ovis aries PE=1 SV=2"	"0.000"	"58.761"	"30"	"16"	"34"	"3"	"1"	"412"	"46.6"	"4.81"	"96.00"	"16"	"12"	"1.9"	""	""	""	"1.1"	""	"3.4"	""	"54.1"	""	"2.0"	""	"1.3"	"1.5"	""	"3.5"	""	"13.6"	"5.3"	"14.5"	"32.54"	""	""	""	"67.93"	""	"58.07"	""	"91.92"	""	""	""	"115.37"	""	""	""	""	"120.74"	"51.61"	"111.65"
"False"	"High"	"IsMasterProtein"	"OEU23726.1"	"aconitate hydratase [Fragilariopsis cylindrus CCMP1102]"	"0.000"	"58.566"	"17"	"14"	"27"	"14"	"1"	"912"	"98.1"	"4.92"	"83.97"	"14"	"0"	"11.0"	"9.1"	"7.8"	"2.8"	"8.3"	"8.0"	"5.5"	"0.6"	"13.1"	"8.8"	"11.8"	"2.4"	"10.5"	"4.0"	"0.4"	"8.1"	""	"2.6"	"12.2"	"8.4"	"59.38"	"124.58"	"88.40"	"142.38"	"73.69"	"121.95"	"79.47"	""	"48.40"	"119.64"	"65.24"	"144.49"	"74.71"	"144.06"	"17.25"	"126.63"	""	"145.83"	"39.51"	"122.99"
"False"	"High"	"IsMasterProtein"	"cRAP_P25691"	"Keratin, type II microfibrillar, component 5 OS=Ovis aries PE=1 SV=1"	"0.000"	"57.454"	"29"	"15"	"31"	"8"	"1"	"502"	"55.2"	"6.46"	"98.15"	"15"	"7"	"3.2"	""	""	""	"0.6"	""	"7.3"	""	"117.5"	""	"1.5"	""	"1.2"	""	""	"2.3"	""	"40.8"	"5.4"	"31.0"	"67.72"	""	""	""	"71.58"	""	""	""	"111.40"	""	""	""	"33.33"	""	""	""	""	"129.90"	"118.91"	"128.83"
"False"	"High"	"IsMasterProtein"	"OEU20105.1"	"hypothetical protein FRACYDRAFT_268179 [Fragilariopsis cylindrus CCMP1102]"	"0.000"	"57.312"	"36"	"8"	"22"	"8"	"1"	"305"	"32.1"	"4.25"	"88.15"	"8"	"0"	"4.0"	"25.6"	"4.6"	"36.1"	"4.6"	"7.9"	"3.1"	"2.3"	"5.2"	"9.6"	"9.8"	"16.6"	"3.3"	"15.6"	""	"27.5"	"0.1"	"15.1"	"5.3"	"10.3"	"116.49"	"102.64"	"110.30"	"78.22"	"151.10"	"164.37"	"157.01"	"24.89"	"122.53"	"187.38"	"124.13"	"140.51"	"154.67"	"130.15"	""	"103.33"	""	"145.14"	"132.20"	"147.78"
"False"	"High"	"IsMasterProtein"	"OEU14023.1"	"hypothetical protein FRACYDRAFT_188631 [Fragilariopsis cylindrus CCMP1102]"	"0.000"	"56.667"	"9"	"16"	"27"	"16"	"1"	"1868"	"204.0"	"6.81"	"89.69"	"16"	"0"	"5.8"	"8.2"	"5.1"	"7.3"	"4.9"	"8.0"	"4.0"	""	"7.4"	"8.9"	"6.1"	"8.5"	"5.4"	"10.0"	""	"7.6"	""	"8.1"	"5.3"	"6.7"	"55.77"	"39.17"	"56.41"	"3.58"	"18.35"	"36.55"	"53.41"	""	"44.76"	"63.75"	"60.47"	"49.24"	"69.34"	"33.72"	""	"26.55"	""	"43.25"	"28.98"	"49.82"
"False"	"High"	"IsMasterProtein"	"OEU16482.1"	"prohibitin 2 [Fragilariopsis cylindrus CCMP1102]"	"0.000"	"56.596"	"25"	"8"	"27"	"8"	"1"	"316"	"34.1"	"9.67"	"109.74"	"8"	"0"	"32.6"	"24.2"	"37.6"	"29.9"	"3.2"	"9.2"	"2.8"	"0.4"	"16.3"	"13.3"	"9.0"	"22.8"	"10.3"	"24.0"	"0.4"	"22.3"	"1.3"	"21.9"	"27.1"	"17.4"	"84.50"	"72.62"	"78.41"	"72.29"	"134.57"	"75.14"	"145.39"	""	"107.26"	"53.58"	"127.17"	"72.14"	"117.94"	"69.47"	""	"75.29"	""	"65.39"	"83.34"	"74.94"
"False"	"High"	"IsMasterProtein"	"OEU17172.1"	"vitamin B6 biosynthesis protein [Fragilariopsis cylindrus CCMP1102]"	"0.000"	"56.278"	"31"	"14"	"35"	"14"	"1"	"333"	"35.8"	"6.27"	"94.71"	"14"	"0"	"12.9"	"7.5"	"10.4"	"6.7"	"9.6"	"4.5"	"8.0"	""	"16.4"	"6.6"	"16.4"	"7.6"	"8.3"	"7.9"	"0.7"	"6.7"	""	"8.6"	"11.8"	"6.5"	"66.86"	"101.89"	"64.52"	"99.00"	"52.97"	"46.85"	"49.37"	""	"65.79"	"29.82"	"45.63"	"82.49"	"46.22"	"78.53"	""	"87.67"	""	"57.17"	"46.00"	"80.55"
"False"	"High"	"IsMasterProtein"	"OEU14969.1"	"glutamate 1-semialdehyde 2,1-aminomutase [Fragilariopsis cylindrus CCMP1102]"	"0.000"	"55.138"	"24"	"12"	"48"	"12"	"1"	"471"	"50.2"	"5.22"	"147.46"	"12"	"0"	"11.9"	"14.9"	"12.0"	"13.2"	"9.4"	"10.7"	"8.6"	"0.9"	"14.3"	"17.6"	"13.4"	"22.3"	"8.3"	"20.7"	"0.8"	"19.1"	""	"18.0"	"9.2"	"16.3"	"129.26"	"88.23"	"135.64"	"117.66"	"119.61"	"74.48"	"113.94"	"27.08"	"128.32"	"60.45"	"118.47"	"77.74"	"175.54"	"101.67"	""	"102.75"	""	"80.57"	"132.55"	"75.76"
"False"	"High"	"IsMasterProtein"	"OEU16972.1"	"mitochondrial chaperonin [Fragilariopsis cylindrus CCMP1102]"	"0.000"	"54.913"	"22"	"13"	"26"	"13"	"1"	"550"	"57.8"	"5.05"	"95.11"	"13"	"0"	"7.4"	"21.3"	"6.3"	"21.6"	"5.9"	"6.5"	"4.9"	"0.7"	"11.4"	"5.3"	"7.0"	"14.2"	"5.9"	"18.0"	""	"18.5"	""	"14.8"	"5.1"	"12.5"	"123.26"	"43.63"	"139.08"	"66.80"	"135.24"	"78.72"	"127.96"	"68.50"	"114.07"	"101.11"	"152.39"	"75.12"	"136.59"	"62.96"	""	"55.63"	""	"69.68"	"127.03"	"62.80"
